D1_tappeto: MATERIALI DI AMBIENTE/MOVIMENTO IN CUI SI OPERA PER LE ATTIVITÀ, materiali/strumenti fisici
D1_griglia/ scacchiera: MATERIALI DI AMBIENTE/MOVIMENTO IN CUI SI OPERA PER LE ATTIVITÀ, materiali/strumenti fisici
D1_retta dei numeri: MATERIALI DI AMBIENTE/MOVIMENTO IN CUI SI OPERA PER LE ATTIVITÀ, materiali/strumenti fisici
D1_schede: MATERIALI CHE GUIDANO/STRUTTURANO ATTIVITÀ, materiali/strumenti fisici
D1_dalla piattaforma: MATERIALI CHE GUIDANO/STRUTTURANO ATTIVITÀ, materiali/strumenti fisici
D1_dalla piattaforma (attività): MATERIALI CHE GUIDANO/STRUTTURANO ATTIVITÀ, materiali/strumenti fisici
D1_slide: MATERIALI CHE GUIDANO/STRUTTURANO ATTIVITÀ, materiali/strumenti fisici
D1_libri: MATERIALI CHE GUIDANO/STRUTTURANO ATTIVITÀ, materiali/strumenti fisici
D1_quaderno: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_carta / cartoncino: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_penn/arelli cancellini: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_segnalini: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_altri materiali: CANCELLERIA/USO COMUNE, materiali/strumenti fisici
D1_corpo: CORPO, materiali/strumenti fisici
D1_occhi: CORPO, materiali/strumenti fisici
D1_mani: CORPO, materiali/strumenti fisici
D1_robot: ROBOT, materiali/strumenti fisici
D1_PC / tablet: PC/TABLET, materiali/strumenti fisici
D1_carte / blocchi di programmazione: CARTE/BLOCCHI, materiali/strumenti fisici
D1_LIM: LIM, materiali/strumenti fisici
D1_coding unplugged: UNPLUGGED, attività
D1_attività unplugged: UNPLUGGED, attività
D1_coding analogico: UNPLUGGED, attività
D1_coding: CODING, attività
D1_aritmetica: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_attività costruzione di mappe: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_geografia: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_geometria: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_presentazione di una regione: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_misure: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_origami: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_scienza: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_riferimenti topologici: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_techno-CLIL: STRUMENTALI PER ALTRE DISCIPLINE, attività
D1_programmazione: PROGRAMMAZIONE, attività
D1_cicli: COSTRUTTI DI BASE, attività
D1_istruzioni condizionali: COSTRUTTI DI BASE, attività
D1_istruzioni di base: COSTRUTTI DI BASE, attività
D1_sequenza: COSTRUTTI DI BASE, attività
D1_variabili: COSTRUTTI DI BASE, attività
D1_algoritmi: CONTENUTI ALGORITMICI, attività
D1_diagramma di flusso: CONTENUTI ALGORITMICI, attività
D1_pseudo-linguaggio: CONTENUTI ALGORITMICI, attività
D1_strutture dati: CONTENUTI ALGORITMICI, attività
D1_verifica e correzione: VERIFICA E CORREZIONE, attività
D1_esecuzione di istruzioni: PROCESSI DI INFORMATICA, attività
D1_lettura codice: PROCESSI DI INFORMATICA, attività
D1_sviluppo iterativo: PROCESSI DI INFORMATICA, attività
D1_decomposizione: PROCESSI DI INFORMATICA, attività
D1_attività sviluppo contenuti: USO TECNOLOGIA E SVILUPPO CONTENUTI, attività
D1_attività uso della tecnologia: USO TECNOLOGIA E SVILUPPO CONTENUTI, attività
D1_ricerca di informazioni: USO TECNOLOGIA E SVILUPPO CONTENUTI, attività
D1_giochi disciplinari interattivi / attività ludiche: VIDEOGIOCHI, attività
D1_attività ludico-motoria: MOVIMENTO E PERCORSI, attività
D1_percorsi: MOVIMENTO E PERCORSI, attività
D1_labirinto: MOVIMENTO E PERCORSI, attività
D1_pixel art: PIXEL ART, attività
D1_storytelling: STORYTELLING, attività
D1_altre attività: ALTRO, attività
D1_sperimentazione: ALTRO, attività
D1_Code.org: CODE.ORG / PROGRAMMA IL FUTURO, piattaforma/ ambiente
D1_programma il futuro: CODE.ORG / PROGRAMMA IL FUTURO, piattaforma/ ambiente
D1_BeeBot: ROBOT, piattaforma/ ambiente
D1_BlueBot: ROBOT, piattaforma/ ambiente
D1_mTiny: ROBOT, piattaforma/ ambiente
D1_Ozobot Bit: ROBOT, piattaforma/ ambiente
D1_Cubetto: ROBOT, piattaforma/ ambiente
D1_Cyber Talk Robot: ROBOT, piattaforma/ ambiente
D1_Lego: ROBOT, piattaforma/ ambiente
D1_Lego (dedotta da link inserita in altre risposte): ROBOT, piattaforma/ ambiente
D1_Mind Designer: ROBOT, piattaforma/ ambiente
D1_robot DOC: ROBOT, piattaforma/ ambiente
D1_Super Doc: ROBOT, piattaforma/ ambiente
D1_Cody Roby: CARTE/BLOCCHI PROGRAMMAZIONE, piattaforma/ ambiente
D1_Common Sense Selection: SOFTWARE DI CREAZIONE/RICERCA CONTENUTI, piattaforma/ ambiente
D1_Kahoot: SOFTWARE DI CREAZIONE/RICERCA CONTENUTI, piattaforma/ ambiente
D1_web: SOFTWARE DI CREAZIONE/RICERCA CONTENUTI, piattaforma/ ambiente
D1_Word: SOFTWARE DI CREAZIONE/RICERCA CONTENUTI, piattaforma/ ambiente
D1_Gworkspace: GOOGLE WORKSPACE, piattaforma/ ambiente
D1_Geogebra: GEOMETRIA DINAMICA, piattaforma/ ambiente
D1_Scratch: SCRATCH, piattaforma/ ambiente
D1_Zaply: AMBIENTE PIXEL ART, piattaforma/ ambiente
D1_forse (vago): FORSE, metodologia
D1_Sì: SÌ, metodologia
D2_programmazione: PROGRAMMAZIONE (generica), obiettivi disciplinari
D3_programmazione: PROGRAMMAZIONE (generica), obiettivi disciplinari
D2_linguaggio formale: PROGRAMMAZIONE (generica), obiettivi disciplinari
D3_programmazione di robot: PROGRAMMAZIONE (generica), obiettivi disciplinari
D2_sequenza: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D3_sequenza: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D2_selezione: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D3_selezione: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D2_cicli: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D2_conoscere le istruzioni del linguaggio: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D2_concetti base della programmazione: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D3_concetti base della programmazione: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D3_utilizzare espressioni condizionali: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D3_manipolazione: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D2_informatica: GENERICO, obiettivi disciplinari
D1_pensiero computazionale: GENERICO, obiettivi disciplinari
D2_pensiero computazionale: GENERICO, obiettivi disciplinari
D2_coding: GENERICO, obiettivi disciplinari
D3_coding: GENERICO, obiettivi disciplinari
D2_abilità informatiche: GENERICO, obiettivi disciplinari
D3_abilità informatiche: GENERICO, obiettivi disciplinari
D3_obiettivi piattaforma: GENERICO, obiettivi disciplinari
D3_robotica educativa: GENERICO, obiettivi disciplinari
D2_coniugare informatica e pratica: GENERICO, obiettivi disciplinari
D2_scomposizione problemi: METODI, obiettivi disciplinari
D3_decomposizione: METODI, obiettivi disciplinari
D3_modellazione dell'informazione: RAPPRESENTAZIONE DELL'INFORMAZIONE, obiettivi disciplinari
D3_pixel art: RAPPRESENTAZIONE DELL'INFORMAZIONE, obiettivi disciplinari
D3_analisi dati e organizzazione: RAPPRESENTAZIONE DELL'INFORMAZIONE, obiettivi disciplinari
D3_rappresentazione dei dati/ informazione: RAPPRESENTAZIONE DELL'INFORMAZIONE, obiettivi disciplinari
D2_verifica/ correzione di programmi: VERIFICA/ CORREZIONE, obiettivi disciplinari
D3_verifica/ correzione errori: VERIFICA/ CORREZIONE, obiettivi disciplinari
D2_esecuzione di istruzioni: PRATICHE, obiettivi disciplinari
D2_mettersi dal punto di vista dell'altro per input: PRATICHE, obiettivi disciplinari
